#{"t_start": 1773857191.5022678, "env_id": "None"}
r,l,t
19.47,56,463.427606
345.76,460,467.112905
394.63,578,468.065325
404.8,562,468.972332
296.59,372,469.5474
344.65,571,473.445565
305.5,482,474.159995
305.72,460,474.875439
207.87,235,475.257063
256.87,340,475.74931
277.02,327,478.866239
356.48,389,479.48998
227.09,315,479.962105
226.21,403,480.613472
334.93,542,481.503143
405.17,525,485.093178
346.18,418,485.712089
345.12,524,486.528204
69.13,95,486.685044
167.66,252,487.079315
187.91,229,487.44418
256.3,397,490.472366
207.35,287,490.90603
78.96,113,491.076336
68.95,113,491.252498
237.61,264,491.679857
325.42,492,492.410738
227.17,307,492.887321
326.1,424,496.470905
364.11,627,497.503912
344.92,544,498.377272
256.33,394,498.995078
364.67,571,502.484193
128.72,142,502.714032
374.94,545,503.545678
345.52,484,504.325032
305.05,527,505.134284
373.63,676,509.0932
365.15,523,509.933683
256.98,329,510.465636
326.77,357,511.062208
385.46,494,514.570948
276.79,350,515.11931
167.72,246,515.500281
403.73,669,516.550518
266.52,376,517.154475
284.79,551,520.54951
365.82,456,521.283526
118.2,193,521.597135
108.62,150,521.851735
306.37,395,522.490617
415.12,531,525.999189
325.41,493,526.903999
197.68,253,527.316692
296.23,408,528.029425
295.36,495,528.798463
187.11,309,529.321829
276.0,429,532.908923
366.05,433,533.650698
356.17,420,534.29436
227.12,312,534.787456
286.66,364,535.375439
415.2,523,538.929728
286.28,402,539.5261
365.91,447,540.208976
266.96,332,540.717481
296.55,376,541.33831
325.35,499,545.091278
374.56,583,546.044023
335.69,466,546.744581
325.79,455,547.458738
237.25,300,550.640768
276.35,394,551.262311
296.79,352,551.84837
286.61,369,552.420619
217.84,239,552.787318
395.54,487,553.59681
346.37,399,556.841099
227.3,294,557.294222
127.87,227,557.675496
355.07,530,558.548992
364.61,577,559.486769
345.51,485,562.840134
295.68,463,563.559239
374.24,615,564.555618
355.28,509,565.35889
237.79,246,568.24371
305.49,483,568.663163
384.13,627,569.226514
148.15,201,569.400475
384.55,585,571.321057
19.62,41,571.38054
335.81,454,571.789981
275.92,437,572.121879
197.08,313,572.391127
335.85,450,572.738803
395.52,489,574.594145
286.12,418,574.951468
257.47,280,575.192697
226.96,328,575.47158
316.31,402,575.810622
296.21,410,576.163399
384.37,603,577.993143
346.12,424,578.340726
346.25,411,578.704629
187.27,293,578.959988
365.2,518,580.783872
256.7,357,581.078778
394.8,561,581.52231
374.14,625,582.062351
286.51,379,583.721385
187.02,318,584.054158
335.59,476,584.454679
345.21,515,584.846976
345.05,531,585.293913
39.62,43,585.339509
256.72,355,587.059349
217.9,233,587.271015
355.09,528,587.75725
276.87,342,588.059311
344.37,599,588.584612
286.3,400,590.307463
325.87,447,590.672895
404.6,582,591.190163
109.02,110,591.277636
335.21,514,591.720546
108.69,143,591.832076
148.77,139,593.283866
128.54,160,593.410773
414.88,555,593.88443
335.33,502,594.312019
119.07,106,594.400079
287.13,317,594.661453
375.01,538,596.433466
315.02,531,596.909775
314.84,549,597.384674
167.81,237,597.583427
285.3,500,599.342663
356.18,419,599.742073
404.86,556,600.233982
355.76,461,600.61412
354.97,540,601.041731
365.41,497,602.733146
256.89,338,603.045627
158.08,209,603.226626
237.44,281,603.448064
316.14,419,603.783529
326.36,398,605.427594
296.07,424,605.820551
59.16,91,605.900797
177.17,302,606.139843
227.58,266,606.346423
384.16,624,606.872775
315.8,453,608.660024
374.34,605,609.183448
356.51,386,609.532836
266.64,364,609.833951
345.28,508,610.230782
246.79,347,611.956754
227.48,276,612.174963
346.49,387,612.488128
405.1,532,612.932045
315.85,448,613.328953
404.92,550,615.208745
315.5,483,615.603005
385.0,540,616.045921
281.46,884,618.228656
178.0,219,618.420716
441.63,883,619.212992
237.42,283,619.45066
335.55,480,621.334012
324.92,542,621.810052
325.91,443,622.203964
9.93,9,622.203964
365.98,440,622.583201
246.65,361,622.900183
49.27,79,622.963721
345.84,452,624.829478
276.29,400,625.178709
374.54,585,625.687273
365.59,479,626.098589
237.2,305,627.803926
257.25,302,628.041536
217.12,311,628.327353
226.23,401,628.644166
383.71,669,629.169429
266.33,395,630.986017
374.0,639,631.519338
335.52,483,631.893235
336.47,388,632.187352
353.81,656,634.195204
276.49,380,634.534645
355.45,492,634.936658
88.93,117,635.021686
187.56,264,635.240673
108.6,152,635.351531
267.33,295,635.605038
315.49,484,637.404495
262.93,735,638.040731
296.87,344,638.345145
344.44,592,640.304132
396.54,387,640.667208
266.88,340,640.959189
316.59,374,641.266033
345.14,522,641.676394
364.64,574,643.430517
335.73,462,643.808734
197.37,284,644.030224
354.7,567,644.523293
285.86,444,644.920129
345.13,523,646.860046
187.59,261,647.065984
109.06,106,647.160308
405.05,537,647.602694
293.45,686,648.205218
158.25,192,649.783907
78.57,152,649.928521
394.54,587,650.435195
285.86,444,650.817694
-0.03,4,650.832789
384.97,543,651.277022
355.76,461,653.106382
334.41,594,653.596622
247.0,326,653.858633
315.77,456,654.233924
266.34,394,655.954735
373.7,669,656.528548
355.19,518,656.989832
325.24,510,657.428845
257.56,271,657.638616
306.04,428,659.470204
366.02,436,659.853523
187.86,234,660.067101
345.67,469,660.436319
305.78,454,660.800823
266.15,413,662.555714
385.02,538,663.016013
296.55,376,663.334873
365.4,498,663.781474
365.09,529,665.613609
365.14,524,666.089996
364.44,594,666.597131
217.59,264,666.819228
365.2,518,668.605218
371.46,893,669.400376
247.24,302,669.654845
325.8,454,670.054459
295.97,434,671.829138
336.12,423,672.184543
354.88,549,672.6605
296.37,394,673.008627
226.33,391,673.326223
345.55,481,675.144943
364.6,578,675.605264
374.71,568,676.114078
305.87,445,676.508259
403.27,715,678.46778
158.1,207,678.643206
373.98,641,679.182948
394.89,552,679.626549
335.63,472,681.491504
286.73,357,681.832331
344.16,620,682.350175
79.39,70,682.413481
327.07,1328,684.921214
385.14,526,685.334296
301.21,911,687.498106
420.17,1027,688.398413
344.77,559,688.90423
19.73,30,688.924691
384.58,582,690.815988
